fund_url,fund_name,applicant_types,geographic_scope,beneficiary_focus,funding_range,restrictions,application_status,deadline,notes,eligibility,evidence,pages_scraped,visited_urls_count,extraction_timestamp,error
https://www.oxfordshire.org,www.oxfordshire.org,charitable organisations; community groups; social enterprises,Oxfordshire,people experiencing hardship; young people; older people; adults with disabilities; communities in need,"£500 - £30,000; up to £5,000; up to £3,000; up to £25,000; £10,000 annually minimum commitment",must be a registered charity or community group; specific items for individuals in need,open,,"Grants cover ongoing running costs, project, capital and promotional costs; must align with fund themes",Not Eligible,"[Score: 5] ✓ Registered charities eligible | ✓ Beneficiary alignment: age groups: young people, adults | ✓ Applications open | ✗ Geographic mismatch: oxfordshire | ✗ Charities may be excluded - review carefully",15,15,2025-10-13 10:25:45,
https://abcharitabletrust.org.uk,abcharitabletrust.org.uk,charities registered in the UK,UK,migrants; refugees; people seeking asylum; marginalised communities,"£10,000 - £30,000 pa",individuals; the promotion of religion; capital appeals; academic research; charities working outside the UK,open,"application deadlines for 2025/26 are as follows: Decisions in January 2026, Decisions in April 2026, Decisions in July 2026, Decisions in October 2026","Annual income must be between £150,000 and £1.5 million; must have operated for at least a year and provide a full year’s audited or independently examined accounts.",Eligible,"[Score: 60] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £10,000 - £30,000 pa | ✓ Applications open | ⏰ Deadline: application deadlines for 2025/26 are as follows: Decisions in January 2026, Decisions in April 2026, Decisions in July 2026, Decisions in October 2026 | ⚠ Beneficiary focus unclear: migrants; refugees; people seeking asylum; marginalised communities | ⚠ Restrictions apply: individuals; the promotion of religion; capital appeals; academic research; charities working outsid...",15,15,2025-10-13 10:32:46,
https://www.ellerman.org.uk,www.ellerman.org.uk,UK registered charities; organisations with exempt charity status; companies limited by guarantee with an asset lock; fiscally hosted organisations,UK,environmental organisations; marginalised communities,"£100,000 - £10,000,000",individuals; universities for core work; hospitals; hospices; schools; capital developments; building refurbishment; individual items of equipment; work that promotes religion; arts organisations; leisure activities; education work; animal welfare; medical research or treatment; one-off events,open,,"Must have an annual income above £100,000 and below £10,000,000; must demonstrate national or UK level impact.",Possibly Eligible,"[Score: 40] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £100,000 - £10,000,000 | ✓ Applications open | ⚠ Beneficiary focus unclear: environmental organisations; marginalised communities | ✗✗ CRITICAL: Core activities may be excluded - hospice, hospices, medical",11,15,2025-10-13 10:34:56,
http://www.raynefoundation.org.uk/,www.raynefoundation.org.uk,voluntary; statutory; not-for-profit; for-profit,UK,children and young people; refugees and asylum seekers; people in later life and their carers,"£10,000 - £30,000 per year","Outside of our funding priority areas; Don’t meet our funding criteria; For day-to-day running costs of local organisations or buildings; For capital, equipment or vehicle appeal; For medical research; Exclusively focussed on campaigning and lobbying work; For retrospective funding; For endowments; For individual use; From organisations working or based outside the UK; From organisations who have applied and been rejected in the past 12 months",closed,,Expressions of Interest for the Where People Meet programme are currently closed.,Low Match,"[Score: 10] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, young people; services: care | ✓ Funding size appropriate: £10,000 - £30,000 per year | ✗ Applications CLOSED | ✗✗ CRITICAL: Core activities may be excluded - medical",15,15,2025-10-13 10:41:47,
https://www.childhoodtrust.org.uk,www.childhoodtrust.org.uk,UK-registered charities,London,children living in poverty; children (0-18 year olds),"£4,000 - £100,000",charities cannot apply for a TCT grant which exceeds 10% of their last annual income; must have at least one year of filed accounts; must be able to demonstrate that they are a going concern; must have strong financial processes and be legally compliant; must have a robust governance structure; must have solid safeguarding processes,closed,16th July 2025,must be registered on theBigGive.org.uk,Low Match,"[Score: 25] ✓ Registered charities eligible | ✓ Regional match (South East/London) | ✓ Beneficiary alignment: age groups: children | ✓ Funding size appropriate: £4,000 - £100,000 | ✗ Applications CLOSED | ⚠ Restrictions apply: charities cannot apply for a tct grant which exceeds 10% of their last annual income; must have at l...",15,15,2025-10-13 10:47:03,
https://www.mercers.co.uk,www.mercers.co.uk,not-for-profit organisations,"Greater London, Norfolk, Lincolnshire, Northumberland, Tees Valley, County Durham, Tyne & Wear, Northeast of England",young people; older people; families facing disadvantage; disadvantaged communities; refugees; homeless,"£10,000 - £120,000",work solely focused on young people or older people; individuals; proposals designed solely for the advancement of a particular faith; general appeals or financial support for costs that have already been incurred,open,30 October 2025,"Proposals should align closely to one of the priority areas listed, demonstrate community rootedness, and be from organisations that reflect the communities they serve.",Possibly Eligible,"[Score: 45] ✓ Regional match (South East/London) | ✓ Beneficiary alignment: age groups: young people, families | ✓ Funding size appropriate: £10,000 - £120,000 | ✓ Applications open | ⏰ Deadline: 30 October 2025 | ⚠ Applicant type unclear - may need verification | ⚠ Restrictions apply: work solely focused on young people or older people; individuals; proposals designed solely for the ...",15,15,2025-10-13 10:51:35,
https://www.tudortrust.org.uk,www.tudortrust.org.uk,,UK,communities; racial justice,up to £1 million; £10 million in initial grants,invitation-only funding; no unsolicited proposals,open,,Focus on organisations addressing racial injustice and fostering long-term systems change,Possibly Eligible,[Score: 35] ✓ UK/England-wide funding (includes Kent) | ✓ Applications open | ⚠ Beneficiary focus unclear: communities; racial justice | ⚠ Large grants only (£500k+) - may be competitive: up to £1 million; £10 million in initial grants | ⚠ Restrictions apply: invitation-only funding; no unsolicited proposals...,15,15,2025-10-13 10:54:43,
https://www.pearsfoundation.org.uk,www.pearsfoundation.org.uk,UK-based organisations currently in receipt of Pears Foundation funding,UK,children; families; groups facing barriers to society; those with special needs or a disability,unrestricted grants or funding for essential costs such as staff posts,invitation-only foundation,open,,Core funding is provided whenever appropriate,Low Match,"[Score: 25] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, families | ✓ Applications open | ⚠ Applicant type unclear - may need verification | ⚠ Restrictions apply: invitation-only foundation...",15,15,2025-10-13 10:56:16,
https://www.bishopradfordtrust.org.uk,www.bishopradfordtrust.org.uk,churches; UK registered Christian charities,UK,prisoners; marginalised individuals,"up to £2,000","Non-UK registered charities; Charities that do not have a Christian ethos; Activities that have already taken place; Pilot schemes, except where the charity has been previously funded; Charities who have not yet filed at least one set of accounts with the Charity Commission",closed,,This is an application for a new project which has not been funded by this trust in the last three years.,Not Eligible,"[Score: -5] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding available but small: up to £2,000 | ⚠ Beneficiary focus unclear: prisoners; marginalised individuals | ✗ Applications CLOSED | ✗ Charities may be excluded - review carefully",15,15,2025-10-13 11:08:26,
https://www.phf.org.uk,www.phf.org.uk,not-for-profit organisations; local Indian NGOs,"UK, India",teachers; young people (14–25); migrant communities; vulnerable communities; Dalit communities; disabled people; families living in extreme poverty; tribal communities; women,"Teacher Development Fund: Up to £165,000; Migration Fund: Up to £60,000 per year (3 to 4 years); up to £50,000 per year (5 years); Youth Fund: Up to £150,000; Arts-based Learning Fund: £30,000 to £300,000; Arts Fund: £90,000 to £300,000; Ideas and Pioneers Fund: £20,000; India Fund: ₹10,00,000 से ₹40,00,000",non-Indian organisations; political or religious institutions; service delivery not linked to strategic approach; academic research without action link; work focused solely on bringing communities together,open,12 November 2025; Rolling application cycle,Applications assessed biannually in March & October; must have FCRA registration for India Fund; organisations must be led by people most impacted by systemic inequity.,Possibly Eligible,"[Score: 40] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people, families | ✓ Funding size appropriate: teacher development fund: up to £165,000; migration fund: up to £60,000 per year (3 to 4 years); up to £50,000 per year (5 years); youth fund: up to £150,000; arts-based learning fund: £30,000 to £300,000; arts fund: £90,000 to £300,000; ideas and pioneers fund: £20,000; india fund: ₹10,00,000 से ₹40,00,000 | ✓ Applications open | ⏰ Deadline: 12 November 2025; Rolling application cycle | ⚠ Applicant type unclear - may need verification | ⚠ Restrictions apply: non-indian organisations; political or religious institutions; service delivery not linked to strate...",15,15,2025-10-13 11:13:54,
https://www.bbc.co.uk/pudsey,www.bbc.co.uk,,,children; young people; adults,,,unclear,,,Low Match,"[Score: 10] ✓ Beneficiary alignment: age groups: children, young people, adults | ⚠ Application status unclear: unclear",14,15,2025-10-13 11:21:27,
https://www.nesta.org.uk,www.nesta.org.uk,founders; entrepreneurs,UK,minoritised entrepreneurs; diverse founders,£500k-£1m,,open,,"Businesses must align with Nesta's investment strategy and focus on areas such as healthy ageing, edtech, foodtech, healthtech, climate tech, and productivity.",Possibly Eligible,[Score: 45] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: general health/care | ✓ Funding size appropriate: £500k-£1m | ✓ Applications open | ⚠ Applicant type unclear - may need verification,15,15,2025-10-13 11:26:24,
https://www.potterfoundation.com,www.potterfoundation.com,registered charities; educational institutions,UK,education; civil society; human rights; governance,,individuals; community Interest Companies; retrospective costs; Full Economic Costs for universities; political organisations; clinical trials; religious organisations that work only for the benefit of members of their own religion; non-profit companies; capital works; building or rebuilding schools; individual schools or school projects; school equipment; scaling up projects; bursaries for individual school children / undergraduate education; civic education / citizenship education programmes,unclear,,Applications are strictly by invitation only.,Low Match,[Score: 15] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ⚠ Beneficiary focus unclear: education; civil society; human rights; governance | ⚠ Application status unclear: unclear | ✗✗ CRITICAL: Core activities may be excluded - clinical,14,15,2025-10-13 11:32:43,
https://www.citybridgefoundation.org.uk,www.citybridgefoundation.org.uk,,Greater London,individuals and communities experiencing disadvantage and marginalisation,,,closed,October 2024,New funding programme to open in autumn 2025.,Not Eligible,[Score: -10] ✓ Regional match (South East/London) | ⚠ Beneficiary focus unclear: individuals and communities experiencing disadvantage and marginalisation | ✗ Applications CLOSED,15,15,2025-10-13 11:35:20,
https://www.linburytrust.org.uk,www.linburytrust.org.uk,charities; charitable organisations,UK,public engagement with culture; arts; dance; museums; heritage; people experiencing disadvantage; inequality; homelessness; refugees; asylum seekers; older people; environment; climate,"Grants from £300 to £30,000; up to £5,000 for essential works",no unsolicited enquiries or applications; rarely support substantive building or capital projects; rarely support arts activity that is performance only,open,,Focus on addressing inequality and environmental sustainability,Eligible,"[Score: 60] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: grants from £300 to £30,000; up to £5,000 for essential works | ✓ Applications open | ⚠ Beneficiary focus unclear: public engagement with culture; arts; dance; museums; heritage; people experiencing disadvantage; in | ⚠ Restrictions apply: no unsolicited enquiries or applications; rarely support substantive building or capital projects; r...",15,15,2025-10-13 11:39:36,
https://www.wcit.org.uk,www.wcit.org.uk,,UK,SMEs; under-represented founders; regions,,,unclear,,Event on 15th October 2025 focuses on fundraising for tech SMEs.,Low Match,[Score: 25] ✓ UK/England-wide funding (includes Kent) | ⚠ Beneficiary focus unclear: smes; under-represented founders; regions | ⚠ Application status unclear: unclear,15.0,15.0,2025-10-13 12:28:52,
https://www.samworthfoundation.org.uk,www.samworthfoundation.org.uk,organisations from any part of the UK; organisations who work internationally,UK and internationally,people; environment,"£86,000 - £300,000; Average grant size: £73,000",organisations do not have to be registered charities to apply; grants are to be used only for the purposes outlined by the organisation in the grant application,unclear,,Most grants are for two or three years; no specific timelines for application completion; grants are paid via bank transfer; evaluation is undertaken through regular monitoring and annual reports.,Low Match,"[Score: 20] ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £86,000 - £300,000; average grant size: £73,000 | ⚠ Applicant type unclear - may need verification | ⚠ Beneficiary focus unclear: people; environment | ⚠ Application status unclear: unclear | ⚠ Restrictions apply: organisations do not have to be registered charities to apply; grants are to be used only for the pu...",15.0,15.0,2025-10-13 12:31:19,
https://www.coopfoundation.org.uk,www.coopfoundation.org.uk,"individuals; groups or organisations with an annual income of less than £100,000",UK,young people; communities; youth activists,Young Gamechangers Fund: £4.5m; Future Communities Fund: £1.75m; Carbon Innovation Fund: £3.5m; #iwill Fund: £5m,none stated,closed,,Applications for the Future Communities Fund are now closed.,Not Eligible,[Score: -10] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people | ⚠ Applicant type unclear - may need verification | ⚠ Very small grants only: young gamechangers fund: £4.5m; future communities fund: £1.75m; carbon innovation fund: £3.5m; #iwill fund: £5m | ✗ Applications CLOSED,15.0,15.0,2025-10-13 12:33:13,
https://www.communityfoundation.org.uk,www.communityfoundation.org.uk,charities; community organisations; social enterprises; CICs,"Tyne & Wear and Northumberland, North East England",local charities; community organisations; vulnerable individuals,"£1,000 - £10,000; average grant around £6,000",activities which are not charitable in law; organisations that do not have adequate safeguarding arrangements; contributions to general appeals or circulars; advancement of religion; enabling a public body to carry out its statutory obligations; advancement of animal welfare; activities which have already taken place; grant-making or equivalent gifts in kind by other organisations; privately owned and profit-distributing companies or limited partnerships,open,,"Organisations must have a governing document, a governing body of at least three unrelated individuals, a bank account in the organisation’s name with at least two unrelated signatories, and adequate safeguarding arrangements.",Eligible,"[Score: 50] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £1,000 - £10,000; average grant around £6,000 | ✓ Applications open | ⚠ Beneficiary focus unclear: local charities; community organisations; vulnerable individuals | ✗ Charities may be excluded - review carefully",15.0,15.0,2025-10-13 12:44:06,
https://www.wolfson.org.uk,www.wolfson.org.uk,charities; universities; research institutions; academic researchers; students,UK,secondary school-age musicians; undergraduate students; early and mid-career researchers; medical staff; people fleeing persecution,,no direct applications from individuals; no funding for clinical medicine; no retrospective grants,open,"1 March, 1 September",Stage 1 applications are required; Stage 2 applications are by invitation only.,Possibly Eligible,"[Score: 35] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: services: care | ✓ Applications open | ⏰ Deadline: 1 March, 1 September | ✗✗ CRITICAL: Core activities may be excluded - clinical",15.0,15.0,2025-10-13 12:56:13,
https://www.camdengiving.org.uk,www.camdengiving.org.uk,citizens; small organisations; schools,Camden,young people; families; women; people of colour; disabled people; care leavers,"We Make Camden Kit: up to £2,000; Growth Grant: up to £5,000",must not have overdue reporting for previous grants,closed,,Contact grants team for application support,Not Eligible,"[Score: -45] ✓ Beneficiary alignment: age groups: young people, families; services: care | ⚠ Applicant type unclear - may need verification | ✗ Geographic mismatch: camden | ⚠ Large grants only (£500k+) - may be competitive: we make camden kit: up to £2,000; growth grant: up to £5,000 | ✗ Applications CLOSED | ⚠ Restrictions apply: must not have overdue reporting for previous grants...",15.0,15.0,2025-10-13 13:10:19,
https://www.jlf.org.uk,www.jlf.org.uk,registered charity; community interest company; company with a clear social purpose,UK,disadvantaged young people; young people aged 16 to 25; children with autism; families with children who have Cystic Fibrosis; BAME young people; refugees; asylum seekers; vulnerable young people,Annual grants up to £25K; less than £5K for top-up funding,no unsolicited applications; currently only funding organisations,open,,Must be committed to supporting disadvantaged young people; robust approach to safeguarding; up-to-date accounts and reporting,Highly Eligible,"[Score: 70] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, young people, families | ✓ Funding size appropriate: annual grants up to £25k; less than £5k for top-up funding | ✓ Applications open | ⚠ Restrictions apply: no unsolicited applications; currently only funding organisations...",15.0,15.0,2025-10-13 13:17:36,
https://www.landaid.org,www.landaid.org,Charity; Community Interest Company (CIC); Charitable Incorporated Organisation (CIO); not-for-profit organisation,UK,young people aged 16-25; individuals experiencing homelessness; people at risk of homelessness,"£10,000 - £181,000",Projects must specifically support the age group 16-25; No unrestricted grants towards running costs; No retrospective funding for projects,open,,Organisations can hold multiple grants but generally only one grant under each programme at any one time.,Highly Eligible,"[Score: 70] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people | ✓ Funding size appropriate: £10,000 - £181,000 | ✓ Applications open | ⚠ Restrictions apply: projects must specifically support the age group 16-25; no unrestricted grants towards running costs...",15.0,15.0,2025-10-13 13:19:08,
https://www.jlc.london,www.jlc.london,,,,,,,,,,,,,2025-10-13 13:25:24,Insufficient text extracted
https://www.buttleuk.org,www.buttleuk.org,frontline professionals working for a registered charity; housing association; public sector organisation,UK,children aged from 2 to 18; young people aged 20 and under,"up to £2,400",must have experienced a crisis; must be in education or training for at least 12 hours per week,open,,The family must have taken action to move on from risk or crisis and be actively engaging with support.,Eligible,"[Score: 65] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, young people | ✓ Funding available but small: up to £2,400 | ✓ Applications open | ⚠ Restrictions apply: must have experienced a crisis; must be in education or training for at least 12 hours per week...",15.0,15.0,2025-10-13 13:25:55,
https://www.barrowcadbury.org.uk,www.barrowcadbury.org.uk,organisations,"UK, Birmingham and the surrounding area",racialised groups; people affected by social injustices,"£50,000 - £250,000",no unsolicited applications for work outside the UK,open,,You can apply at any time. No set grant-making deadlines.,Possibly Eligible,"[Score: 30] ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £50,000 - £250,000 | ✓ Applications open | ⚠ Applicant type unclear - may need verification | ⚠ Beneficiary focus unclear: racialised groups; people affected by social injustices | ⚠ Restrictions apply: no unsolicited applications for work outside the uk...",15.0,15.0,2025-10-13 13:30:45,
https://www.dulverton.org,www.dulverton.org,charities; CIOs,UK,young people aged up to 25; communities with high levels of poverty; older people; young offenders; young homeless people; those who care for others; wildlife habitat,"average grant is between £30,000-£40,000; £1.25m awarded in June 2024; £977,951 awarded in November 2024; £1,557,458 awarded in October 2023",not fund work primarily for the benefit of residents of London or Northern Ireland; charities working from one site or within one Local Authority area are extremely unlikely to receive funding; applications to the category for Kenya or Uganda are invitation only,rolling,next round of grants will be made in February 2025,"charities must have a national reach, operate from more than one location in more than one region, and complete an eligibility quiz",Highly Eligible,"[Score: 80] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people; services: care | ✓ Funding size appropriate: average grant is between £30,000-£40,000; £1.25m awarded in june 2024; £977,951 awarded in november 2024; £1,557,458 awarded in october 2023 | ✓ Applications rolling | ⏰ Deadline: next round of grants will be made in February 2025 | ⚠ Restrictions apply: not fund work primarily for the benefit of residents of london or northern ireland; charities workin...",15.0,15.0,2025-10-13 13:37:30,
https://www.esmeefairbairn.org.uk,www.esmeefairbairn.org.uk,constituted organisations; charities; non-charities doing charitable work,UK,communities experiencing racial inequity; young people leaving care,"£30,000 - no maximum; Funding Plus: maximum £9,000","organisations with a turnover of less than £100,000; organisations that are not constituted; grants to individuals; grants for less than £30,000; work that is not legally charitable; work that does not have a direct benefit in the UK; academic research unless it can demonstrate practical outcomes; promotion of religion",rolling,,Funding Plus prioritises requests from organisations that have not yet received support and are led by and for communities experiencing racial inequity.,Highly Eligible,"[Score: 70] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people; services: care | ✓ Funding size appropriate: £30,000 - no maximum; funding plus: maximum £9,000 | ✓ Applications rolling | ✗ Charities may be excluded - review carefully",15.0,15.0,2025-10-13 13:39:18,
