All Grants,Earliest Award,Grants,Grants To Individuals,Grants To Organisations,Largest Amount,Largest Amount  (USD),Latest Award,Smallest Amount,Smallest Amount  (USD),Total Amount,Total Amount (USD),additional_active,additional_charitynumber,additional_companynumber,additional_dateregistered,additional_dateremoved,additional_last_modified,additional_latestincome,additional_latestincomedate,additional_linked_orgs,additional_linked_orgs_verified,additional_name,additional_organisationtype,additional_organisationtypeprimary,additional_orgids,additional_postalcode,additional_source,appears_as,name,org_ids,fund_url,organisationtypeprimary,other_names
,29-Nov-18,,,76,"£16,709",,29-Nov-18,£425,,"£514,478",,TRUE,,,,,2024-03-01 01:01:01.394285+00:00,,,"GB-LAE-ESS, GB-UKLA-ESS, XI-ROR-05vnht861, XI-GRID-grid.434259.d, XI-WIKIDATA-Q5399679","GB-LAE-ESS, GB-UKLA-ESS",Essex County Council,"local-authority, county",Local Authority,GB-LAE-ESS,,lae,"Funder, Recipient, Publisher",Essex County Council,"Org IDsGB-LAE-ESS, GB-UKLA-ESS",,Local Authority,
,20-Apr-06,,,"4,218","£10,000,000",,09-Jul-25,£500,,"£433,022,881",,TRUE,1102927,5042279,29/03/2004,,2025-12-01 01:08:12.011534+00:00,50690127,31/03/2025,"GB-CHC-1102927, GB-COH-05042279, XI-ROR-03wztvy18, XI-GRID-grid.481059.1","GB-CHC-1102927, GB-COH-05042279",PAUL HAMLYN FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1102927, GB-COH-05042279",WC1X 9HY,ccew,"Funder, Recipient, Publisher",Paul Hamlyn Foundation,"Org IDsGB-CHC-1102927, GB-COH-05042279",https://www.phf.org.uk,Registered Charity,Other Names used in the dataPAUL HAMLYN FOUNDATION
,06-Jun-20,,,157,"£300,000",,27-Nov-25,£400,,"£9,756,646",,TRUE,1191713,,08/10/2020,,2025-12-01 01:08:12.011534+00:00,1398828,31/12/2024,"GB-CHC-1191713, GB-COH-CE024079",GB-CHC-1191713,THE SAM AND BELLA SEBBA CHARITABLE FOUNDATION,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1191713,E1 0SG,ccew,"Funder, Publisher",Sam and Bella Sebba Charitable Foundation,Org IDsGB-CHC-1191713,https://samandbellasebbacharitablefoundation.com/,Registered Charity,Other Names used in the dataTHE SAM AND BELLA SEBBA CHARITABLE FOUNDATION
,12-Apr-16,,,735,"£30,000",,19-Jul-23,£229,,"£4,609,584",,TRUE,1074930,3738566,30/03/1999,,2025-12-01 01:08:12.011534+00:00,5231000,31/03/2024,"GB-CHC-1074930, GB-SC-SC039277, GB-COH-03738566","GB-CHC-1074930, GB-COH-03738566",THE COALFIELDS REGENERATION TRUST,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1074930, GB-COH-03738566",S73 0BB,ccew,"Funder, Recipient, Publisher",The Coalfields Regeneration Trust,"Org IDsGB-CHC-1074930, GB-COH-03738566",https://www.coalfields-regen.org.uk,Registered Charity,Other Names used in the dataTHE COALFIELDS REGENERATION TRUST
,01-Nov-16,,,29,"£95,000",,01-Oct-23,"£5,000",,"£914,556",,TRUE,1168201,9929204,13/07/2016,,2025-12-01 01:08:12.011534+00:00,152755,31/12/2024,"GB-CHC-1168201, GB-COH-09929204","GB-CHC-1168201, GB-COH-09929204",THE KURT AND MAGDA STERN FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1168201, GB-COH-09929204",GL50 1HH,ccew,"Funder, Publisher",Kurt and Magda Stern Foundation,"Org IDsGB-CHC-1168201, GB-COH-09929204",https://kurtandmagdastern.org,Registered Charity,Other Names used in the dataTHE KURT AND MAGDA STERN FOUNDATION
,03-Nov-21,,,779,"£250,000",,23-Dec-24,£750,,"£20,237,826",,TRUE,SC044772,,26/03/2014,,2025-11-27 20:00:53.257947+00:00,49113405,31/12/2024,"GB-SC-SC044772, GB-COH-SC472798",GB-SC-SC044772,Postcode Community Trust,"registered-charity, registered-charity-scotland, registered-company, incorporated-charity",Registered Charity,GB-SC-SC044772,EH2 4ET,oscr,Funder,Postcode Community Trust,Org IDsGB-SC-SC044772,http://www.postcodecommunitytrust.org.uk,Registered Charity,
,03-Jul-23,,"1,207",,"£2,735",,28-Nov-24,£50,,"£1,056,986",,TRUE,1169016,9923402,02/09/2016,,2025-12-01 01:08:12.011534+00:00,1248787,30/06/2024,"GB-CHC-1169016, GB-COH-09923402","GB-CHC-1169016, GB-COH-09923402",LONGLEIGH FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1169016, GB-COH-09923402",Whets ton,ccew,"Funder, Publisher",Longleigh Foundation,"Org IDsGB-CHC-1169016, GB-COH-09923402",https://www.longleigh.org,Registered Charity,Other Names used in the dataLONGLEIGH FOUNDATION
,02-Jun-25,,,5,,"$655,000",24-Jul-25,,"$12,100",,"$722,350",,,,,,,,,,,,,,,,,Funder,Lisbet Rausing and Peter Baldwin,Org IDs360G-LRPB,,,
,08-Jul-21,,,187,"£15,000",,17-Jul-25,£950,,"£634,288",,TRUE,1168435,,26/07/2016,,2025-12-01 01:08:12.011534+00:00,753569,30/06/2024,"GB-CHC-1168435, GB-COH-CE007134",GB-CHC-1168435,ForRefugees,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1168435,CR0 5QG,ccew,"Funder, Recipient, Publisher",forRefugees,Org IDsGB-CHC-1168435,https://www.forrefugees.org,Registered Charity,Other Names used in the dataForRefugees
,16-Mar-22,,,29,"£2,600,000",,12-Mar-24,"£100,000",,"£22,410,000",,TRUE,SC044967,,02/07/2014,,2025-11-27 20:00:53.266105+00:00,26114048,31/12/2024,"GB-SC-SC044967, GB-COH-SC481121",GB-SC-SC044967,Postcode Active Trust,"registered-charity, registered-charity-scotland, registered-company, incorporated-charity",Registered Charity,GB-SC-SC044967,EH2 4ET,oscr,Funder,Postcode Active Trust,Org IDsGB-SC-SC044967,http://www.postcodeactivetrust.org.uk,Registered Charity,
,10-Feb-22,,,26,"£3,100,000",,01-Dec-23,"£200,000",,"£25,300,000",,TRUE,SC042544,,29/08/2011,,2025-11-27 20:00:53.173724+00:00,26056157,31/12/2024,"GB-SC-SC042544, GB-COH-SC404041",GB-SC-SC042544,Postcode Green Trust,"registered-charity, registered-charity-scotland, registered-company, incorporated-charity",Registered Charity,GB-SC-SC042544,EH2 4ET,oscr,Funder,Postcode Green Trust,Org IDsGB-SC-SC042544,http://www.postcodegreentrust.org.uk,Registered Charity,
,05-Dec-14,,,"2,017","£111,650",,25-Jun-25,£15,,"£4,064,321",,TRUE,1145921,7788593,15/02/2012,,2025-12-01 01:08:12.011534+00:00,2146164,31/03/2024,"GB-CHC-1145921, GB-COH-07788593, GB-MPR-27933R","GB-CHC-1145921, GB-COH-07788593",MANCHESTER COMMUNITY CENTRAL,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1145921, GB-COH-07788593",M12 6FZ,ccew,"Funder, Recipient, Publisher",Macc,"Org IDsGB-CHC-1145921, GB-COH-07788593",http://www.manchestercommunitycentral.org,Registered Charity,Other Names used in the dataMANCHESTER COMMUNITY CENTRAL
,05-Dec-14,,,"1,028","£220,722",,03-Sep-25,£323,,"£10,007,475",,TRUE,SC003558,,14/03/1944,,2025-11-27 20:00:27.660962+00:00,5975783,31/03/2025,"GB-SC-SC003558, GB-COH-CS000411, XI-ROR-03y6t7d21, XI-GRID-grid.502902.c, XI-WIKIDATA-Q7437678",GB-SC-SC003558,Scottish Council For Voluntary Organisations,"registered-charity, registered-charity-scotland, scottish-charitable-incorporated-organisation",Registered Charity,GB-SC-SC003558,EH3 8EG,oscr,"Funder, Recipient, Publisher",Scottish Council for Voluntary Organisations,Org IDsGB-SC-SC003558,http://www.scvo.org.uk,Registered Charity,Other Names used in the dataScottish Council For Voluntary Organisations
,21-Jan-20,,,768,"£639,969",,06-Dec-24,£100,,"£15,133,084",,TRUE,1074857,,25/03/1999,,2025-12-01 01:08:12.011534+00:00,235636067,31/12/2024,"GB-CHC-1074857, GB-CHC-248711",GB-CHC-1074857,THE ARCHBISHOPS' COUNCIL,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-1074857,SW1P 3AZ,ccew,"Funder, Recipient, Publisher",The Archbishops' Council,Org IDsGB-CHC-1074857,https://www.churchofengland.org,Registered Charity,Other Names used in the dataTHE ARCHBISHOPS' COUNCIL
"3,038",03-Apr-17,"3,036",,,"£75,000",,27-Mar-24,£0,,"£11,582,088",,TRUE,1166471,,11/04/2016,,2025-12-01 01:08:12.011534+00:00,2490144,31/03/2024,"GB-CHC-1166471, GB-COH-CE006195",GB-CHC-1166471,TWO RIDINGS COMMUNITY FOUNDATION,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1166471,YO30 4XT,ccew,"Funder, Recipient, Publisher",Two Ridings Community Foundation,Org IDsGB-CHC-1166471,https://www.tworidingscf.org.uk,Registered Charity,Other Names used in the dataTWO RIDINGS COMMUNITY FOUNDATION
,01-Apr-15,,,"12,048","£217,629",,02-Apr-24,£20,,"£70,744,022",,TRUE,700510,2273708,01/08/1988,,2025-12-01 01:08:12.011534+00:00,10133375,31/03/2024,"GB-CHC-700510, GB-COH-02273708, GB-CHC-284999","GB-CHC-700510, GB-COH-02273708",Community Foundation North East,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-700510, GB-COH-02273708",NE3 1DD,ccew,"Funder, Recipient, Publisher",Community Foundation North East,"Org IDsGB-CHC-700510, GB-COH-02273708",https://www.communityfoundation.org.uk,Registered Charity,
,08-Jun-23,,,21,"£40,000",,27-Jun-24,"£5,040",,"£762,209",,TRUE,1144106,7703610,03/10/2011,,2025-12-01 01:08:12.011534+00:00,212000,31/03/2025,"GB-CHC-1144106, GB-COH-07703610","GB-CHC-1144106, GB-COH-07703610",THE ENERGY SAVING TRUST FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1144106, GB-COH-07703610",N1 9NG,ccew,"Funder, Publisher",Energy Saving Trust Foundation,"Org IDsGB-CHC-1144106, GB-COH-07703610",https://www.energysavingtrust.org.uk,Registered Charity,Other Names used in the dataTHE ENERGY SAVING TRUST FOUNDATION
,05-Jun-24,,"9,824",,"£2,592",,16-May-25,£39,,"£3,399,453",,,,,,,,,,,,,,,,,,Funder,Family Fund Business Services,Org IDsGB-COH-06293129,,,
,12-Nov-20,,,27,"£2,830,000",,19-May-23,"£1,000",,"£3,821,036",,,,,,,,,,,,,,,,,,Funder,Royal Docks,Org IDsGB-LAE-GLA-RD,,,
,11-Oct-21,,,88,,,06-Dec-24,,,,,TRUE,1194169,12303342,21/04/2021,,2025-12-01 01:08:12.011534+00:00,179769,31/12/2024,"GB-CHC-1194169, GB-COH-12303342","GB-CHC-1194169, GB-COH-12303342",EA FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1194169, GB-COH-12303342",E14 5HZ,ccew,"Funder, Publisher",EA Foundation,"Org IDsGB-CHC-1194169, GB-COH-12303342",https://ea-foundation.org.uk,Registered Charity,Other Names used in the dataEA FOUNDATION
,23-May-24,,,72,"£60,000",,21-Nov-24,£500,,"£1,058,553",,TRUE,249349,,07/07/1967,,2025-12-01 01:08:12.011534+00:00,2945029,31/12/2024,GB-CHC-249349,GB-CHC-249349,TALBOT VILLAGE TRUST,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-249349,BH10 4JA,ccew,"Funder, Publisher",Talbot Village Trust,Org IDsGB-CHC-249349,https://www.talbotvillagetrust.org,Registered Charity,Other Names used in the dataTALBOT VILLAGE TRUST
,08-Apr-09,,,"45,777","£76,853,057",,31-Mar-25,£0,,"£4,934,488,276",,TRUE,,RC000766,01/01/2000,,2025-11-29 02:49:32.359696+00:00,,,GB-COH-RC000766,GB-COH-RC000766,THE ENGLISH SPORTS COUNCIL,"royal-charter-company, registered-company",Royal Charter Company,GB-COH-RC000766,,companies,"Funder, Recipient, Publisher",Sport England,Org IDsGB-COH-RC000766,,Royal Charter Company,Other Names used in the dataTHE ENGLISH SPORTS COUNCIL
,01-Jun-16,,,812,"£30,000",,06-Oct-25,£150,,"£6,570,632",,FALSE,253481,,15/08/1967,13/09/2024,2025-12-01 01:08:12.011534+00:00,595502,05/04/2023,"GB-CHC-1207661, GB-COH-CE035722, GB-CHC-253481",GB-CHC-253481,JOHN MOORES FOUNDATION,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-253481,L1 4HY,ccew,"Funder, Publisher",John Moores Foundation,Org IDsGB-CHC-253481,https://www.jmf.org.uk,Registered Charity,Other Names used in the dataJOHN MOORES FOUNDATION
,01-Sep-13,,,775,"£2,000,000",,12-Dec-24,"£2,160",,"£62,403,416",,TRUE,283813,1550741,18/01/1982,,2025-12-01 01:08:12.011534+00:00,62715273,31/12/2024,"GB-CHC-283813, GB-COH-01550741","GB-CHC-283813, GB-COH-01550741",THE LONDON MARATHON CHARITABLE TRUST LIMITED,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-283813, GB-COH-01550741",SE1 4YB,ccew,"Funder, Publisher",London Marathon Foundation,"Org IDsGB-CHC-283813, GB-COH-01550741",https://www.londonmarathonfoundation.org,Registered Charity,Other Names used in the dataTHE LONDON MARATHON CHARITABLE TRUST LIMITED
,05-Sep-23,,,105,"£79,200",,12-Jun-25,£700,,"£2,794,383",,TRUE,211756,,19/11/1962,,2025-12-01 01:08:12.011534+00:00,1332110,30/06/2024,GB-CHC-211756,GB-CHC-211756,HAMPTON FUEL ALLOTMENT,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-211756,TW12 2SA,ccew,"Funder, Recipient, Publisher",Hampton Fund,Org IDsGB-CHC-211756,https://www.hamptonfund.co.uk,Registered Charity,Other Names used in the dataHAMPTON FUEL ALLOTMENT
,30-Mar-16,,,"5,183","£1,085,000",,18-Dec-24,£100,,"£41,499,673",,TRUE,1117345,5999452,20/12/2006,,2025-12-01 01:08:12.011534+00:00,15226869,31/03/2024,"GB-CHC-1117345, GB-COH-05999452, GB-CHC-239900, GB-CHC-266182, GB-CHC-1045304","GB-CHC-1117345, GB-COH-05999452",HEART OF ENGLAND COMMUNITY FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1117345, GB-COH-05999452",CV3 1ND,ccew,"Funder, Recipient, Publisher",Heart of England Community Foundation,"Org IDsGB-CHC-1117345, GB-COH-05999452",https://www.heartofenglandcf.co.uk,Registered Charity,Other Names used in the dataHEART OF ENGLAND COMMUNITY FOUNDATION; Heart Of England Community Foundation
,17-Feb-21,,,28,"£56,079",,19-Feb-25,"£4,425",,"£482,079",,TRUE,1189898,12572438,11/06/2020,,2025-12-01 01:08:12.011534+00:00,1110826,31/12/2024,"GB-CHC-1189898, GB-COH-12572438","GB-CHC-1189898, GB-COH-12572438",THE DIXON FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1189898, GB-COH-12572438",EX1 3LH,ccew,"Funder, Publisher",The Dixon Foundation,"Org IDsGB-CHC-1189898, GB-COH-12572438",https://www.thedixonfoundation.org.uk,Registered Charity,Other Names used in the dataTHE DIXON FOUNDATION
,07-Jul-13,,,349,"£855,000",,31-Dec-23,£50,,"£23,660,599",,TRUE,1164021,,19/10/2015,,2025-12-01 01:08:12.011534+00:00,2745828,31/12/2024,"GB-CHC-1164021, GB-COH-CE004586",GB-CHC-1164021,THE BLAGRAVE TRUST,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1164021,E1 6LS,ccew,"Funder, Recipient, Publisher",The Blagrave Trust,Org IDsGB-CHC-1164021,https://www.blagravetrust.org,Registered Charity,Other Names used in the dataTHE BLAGRAVE TRUST
,04-Jul-18,,,"4,093","£676,532",,30-Apr-25,£50,,"£28,696,762",,TRUE,1052061,3062567,16/01/1996,,2025-12-01 01:08:12.011534+00:00,3138871,30/06/2025,"GB-CHC-1052061, GB-COH-03062567, GB-CHC-1156026","GB-CHC-1052061, GB-COH-03062567",ESSEX COMMUNITY FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1052061, GB-COH-03062567",CM1 1GU,ccew,"Funder, Recipient, Publisher",Essex Community Foundation,"Org IDsGB-CHC-1052061, GB-COH-03062567",https://www.essexcommunityfoundation.org.uk,Registered Charity,Other Names used in the dataESSEX COMMUNITY FOUNDATION
,10-Jan-12,,,"8,065","£2,000,000",,25-Jul-25,£125,,"£459,780,356",,TRUE,230102,,15/10/1963,,2025-12-01 01:08:12.011534+00:00,16351000,31/12/2024,"GB-CHC-230102, XI-ROR-003p9wg45, XI-GRID-grid.468567.e",GB-CHC-230102,THE HENRY SMITH CHARITY,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-230102,N1 9NG,ccew,"Funder, Recipient, Publisher",Henry Smith Foundation,Org IDsGB-CHC-230102,https://www.henrysmithcharity.org.uk,Registered Charity,Other Names used in the dataTHE HENRY SMITH CHARITY
,11-Mar-21,,,563,"£15,000",,01-Nov-24,£400,,"£3,001,826",,TRUE,248031,,23/06/1966,,2025-12-01 01:08:12.011534+00:00,761210,31/03/2025,GB-CHC-248031,GB-CHC-248031,THE ALLEN LANE FOUNDATION,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-248031,YO24 1AR,ccew,"Funder, Publisher",Allen Lane Foundation,Org IDsGB-CHC-248031,https://www.allenlane.org.uk,Registered Charity,Other Names used in the dataTHE ALLEN LANE FOUNDATION
,30-Jan-15,,,"2,821","£1,000,000",,09-Jan-24,£150,,"£108,658,341",,TRUE,1159982,,16/01/2015,,2025-12-01 01:08:12.011534+00:00,3022625,31/12/2024,GB-CHC-1159982,GB-CHC-1159982,POWER TO CHANGE TRUST,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-1159982,SE1 6FE,ccew,"Funder, Recipient, Publisher",Power to Change Trust,Org IDsGB-CHC-1159982,https://www.powertochange.org.uk/,Registered Charity,Other Names used in the dataPOWER TO CHANGE TRUST
,14-Dec-21,,,165,"£10,000",,20-Dec-24,"£10,000",,"£1,650,000",,TRUE,1101906,4930926,04/02/2004,,2025-12-01 01:08:12.011534+00:00,4740335,31/12/2024,"GB-CHC-1101906, GB-COH-04930926","GB-CHC-1101906, GB-COH-04930926",LONDON LEGAL SUPPORT TRUST,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1101906, GB-COH-04930926",WC1X 8BS,ccew,"Funder, Recipient, Publisher",London Legal Support Trust,"Org IDsGB-CHC-1101906, GB-COH-04930926",https://www.londonlegalsupporttrust.org.uk,Registered Charity,Other Names used in the dataLONDON LEGAL SUPPORT TRUST
,01-Apr-06,,,"84,274","£662,909,844",,03-Aug-23,"£-3,360,000",,"£25,999,971,347",,TRUE,,,,,2025-12-01 01:00:59.112240+00:00,,,"GB-GOR-D6, GB-GOVUK-department-for-education, XI-ROR-0320bge18, XI-GRID-grid.433524.7, XI-WIKIDATA-Q2612019","GB-GOR-D6, GB-GOVUK-department-for-education",Department for Education,government-organisation,Government Organisation,"GB-GOR-D6, GB-GOVUK-department-for-education",,gor,Funder,Department for Education,"Org IDsGB-GOR-D6, GB-GOVUK-department-for-education",https://www.gov.uk/government/organisations/department-for-education,Government Organisation,
,05-Mar-13,,,136,"£150,000",,14-Mar-19,"£1,608",,"£7,222,457",,TRUE,295157,2049135,24/10/1986,,2025-12-01 01:08:12.011534+00:00,4530920,31/03/2024,"GB-CHC-295157, GB-SC-SC052172, GB-COH-02049135","GB-CHC-295157, GB-COH-02049135",LANDAID CHARITABLE TRUST LIMITED,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-295157, GB-COH-02049135",W1U 8AN,ccew,"Funder, Recipient, Publisher",LandAid Charitable Trust,"Org IDsGB-CHC-295157, GB-COH-02049135",https://www.landaid.org,Registered Charity,Other Names used in the dataLANDAID CHARITABLE TRUST LIMITED
,15-Nov-16,,,150,"£11,000",,07-May-25,"£1,050",,"£873,650",,TRUE,1121320,6078667,19/10/2007,,2025-12-01 01:08:12.011534+00:00,137460,31/03/2025,"GB-CHC-1121320, GB-COH-06078667","GB-CHC-1121320, GB-COH-06078667",THE MSE CHARITY,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1121320, GB-COH-06078667",W1D 3RB,ccew,"Funder, Publisher",The MSE Charity,"Org IDsGB-CHC-1121320, GB-COH-06078667",https://www.msecharity.com,Registered Charity,Other Names used in the dataTHE MSE CHARITY
