Charity Reg. No.,Trust Name,Geo Area,Project Alignments ,Website / CC Record,Next Steps,Giving total (year),Grant Range,Average Gift,Potential ask value,Correspondent Name,,Relationship status,Previous application or funder,Contact Details,,Happy to receive intro calls / emails?,Application type,Application details,Application deadlines,Grant making policy details,Multi-year grants avaliable?,,,,,,,
292500,Alchemy Foundation ,UK,"Disability, social welfare, Young People",THE ALCHEMY FOUNDATION - 292500,Exploratory call / email needed.,-,-,-,"£1,000",-,-,Cold,-,"Trevereux Manor
Trevereux Hill
Limpsfield Chart
OXTED
RH8 0TL",-,No details,Post,No contact details so assuming application via post is the only option,-,-,-,,,,,,,
1126791,Aldama Foundation,UK,Health,THE ALDAMA FOUNDATION - 1126791,Exploratory call / email needed.,£1004.6M (2024),-,-,"£10,000",-,-,Cold,-,"4th Floor
7 Swallow Street
LONDON
W1B 4DE
02079072100",charity@mfs.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
270822,Ancaster Trust ,UK and Overseas,General,THE ANCASTER TRUST - 270822,Awaiting outcome,"£75,514",-,£465,£500,-,-,Cold,-,"SAYERS BUTTERWORTH LLP
3RD FLOOR
12 GOUGH SQUARE
LONDON
EC4A 3DW
Phone:	02079361910",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1133255,Ana Leaf Foundation ,UK,Health / Sickness,ANA LEAF FOUNDATION - 1133255,Awaiting outcome,"£1,520,879",-,"£57,000","£50,000",-,-,Cold,-,"PO BOX 155
JERSEY
JE45NS
Phone:	07797892310",queries@ana-leaf-foundation.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1049193,Annandale Charitable Trust,UK,Health /' Children / Hospice,THE ANNANDALE CHARITABLE TRUST - 1049193,Awaiting outcome,"£430,040",-,"£3,524","£3,500",-,-,Cold,-,"HSBC Trust Company (UK) Limited
Forum 1
2nd Floor
The Forum
Parkway
Whiteley
Phone:	023 8212 2700",charitabletrusts@ludlowtrust.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
281229,Anthony and Elizabeth Mellows Charitable Settlement,UK,Health,THE ANTHONY AND ELIZABETH MELLOWS CHARITABLE SETTLEMENT - 281229,Awaiting outcome,"£415,272",-,"£3,935","£2,000",-,-,Lapsed,-,"Apartment 23
Clement House
190 Strand
London
WC2R 1AB
Phone:	020 7412 0050",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1150446,Anthony Scholefield Foundation,UK and Overseas,Health /Disability,THE ANTHONY SCHOLEFIELD FOUNDATION - 1150446,Application needed,"£62,000",-,"£4,133","£4,000",-,-,Cold,Application Dec 24,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications are made online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1159820,Autumn Stone Foundation,UK,General,THE AUTUMN STONE FOUNDATION - 1159820,Application needed,"£106,750",-,"£8,895","£8,500",-,-,Cold,Application beginning 2025,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications are made online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1044091,Bay Tree Charitable Trust ,UK and Overseas,General,THE BAY TREE CHARITABLE TRUST - 1044091,Awaiting outcome,"£800,000 (24)",-,"£80,000","£5,000",-,-,Cold,-,"10 New Square
LONDON
WC2A 3QG
Phone:	02074654300",appeals@baytreecharity.org,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1142857,Beaverbrooks Charitable Trust,UK,Health,THE BEAVERBROOKS CHARITABLE TRUST - 1142857,Exploratory call / email needed.,£1.6m,-,"£2,133","£2,000",-,-,Cold,-,"ADELE HOUSE
PARK ROAD
ST. ANNES-ON-SEA
LANCASHIRE
FY8 1RE
01253721262",Charitable.Trust@beaverbrooks.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1118272,Bennett Pain Charitable Trust,UK - Preference for Kent,Health / Kent,BENNETT PAIN CHARITABLE TRUST - 1118272,Awaiting outcome,38000,-,"£3,166","£3,000",Angela Jarvis,Braches Solicitors,Cold,-,"BRACHERS SOLICITORS
57-59 LONDON ROAD
MAIDSTONE
ME16 8JH
Phone:	01622690691",AngelaJarvis@brachers.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1198492,Blue Light Card Foundation,UK,Mental Health for those within Blue Light Community.,https://bluelightcardfoundation.org/eligibility/,Exploratory call / email needed.,"£337,725",-,-,"£25,000",-,-,Cold,-,"CHARNWOOD EDGE
SYSTON ROAD
COSSINGTON
LEICESTER
LE7 4UZ
03003732523",contact@bluelightcardfoundation.org,No indication but contact details are avaliable.,Online,Eligibiliy must be checked before completing the online form,No deadlines listed but applications are currently closed.,See website,No,,,,,,,
1176537,Blyth Charitable Trust,UK,Children,THE BLYTH CHARITABLE TRUST - 1176537,Application needed,"£316,000",-,"£21,000","£20,000",-,-,Cold,Last application beginning of 2025,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
299056,Bothwell Charitable Trust ,UK,"Hospices, Disability, Children",THE BOTHWELL CHARITABLE TRUST - 299056,Awaiting outcome,"£275,000",-,-,-,-,-,Cold,-,"69 Burrell Road
Compton
NEWBURY
Berkshire
RG20 6QX
Phone:	01925757702",bct1987aa@gmail.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1003817,Brian Mitchell Charitable Settlement,"Brighton And Hove, East Sussex, Kent, West Sussex, and Throughout London","Arts, education and medical support",THE BRIAN MITCHELL CHARITABLE SETTLEMENT - 1003817,Exploratory call / email needed.,"£106,000",-,"£4,090","£4,000",-,-,Cold,-,"Caladine Ltd
22 Upperton Road
EASTBOURNE
East Sussex
BN21 1BF
01323644579",CHARITIES@CALADINE.CO.UK,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
235409,Brocklebank Charitable Trust ,"Locally, nationally and overseas",Ill-health / disability,THE BROCKLEBANK CHARITABLE TRUST - 235409,Awaiting outcome,"£31,592",-,"£1,579","£1,500",-,-,Cold,-,"The Blackbirds
Bulmer Street
Bulmer
Sudbury
CO10 7EW
Phone:	07778 393 866",charitabletrust@brocklebank.info,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
290525,Broyst Foundation,"UK and overseas, possible pref for Hampshire",Sickness / Health,THE BROYST FOUNDATION - 290525,Awaiting outcome,"£101,431",-,"£1,449","£1,400",-,-,Cold,-,"First Floor
Chilworth Point
1 Chilworth Road
Southampton
SO16 7JQ
Phone:	02380211088",southampton@rothmansllp.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
212605,Carroll-Marx Charitable Foundation ,UK,Children,THE CARROLL-MARX CHARITABLE FOUNDATION - 212605,Awaiting outcome,"£47,420",-,"£11,855","£1,000",-,-,Cold,-,"Sequent UK Limited
1 King William Street
London
EC4N 7AF
Phone:	02038742893",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1136180,Castanea Trust,UK,Older people / Sick children,THE CASTANEA TRUST - 1136180,Awaiting outcome,"£473,075",-,"£7,755","£7,500",Mark Feeny,,Cold,-,"CASTLE CHAMBERS
43 CASTLE STREET
LIVERPOOL
L2 9TL
L2 9TL
Phone:	01516003000",mark.feeny@brabners.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1080607,Cayo Foundation ,UK,General,THE CAYO FOUNDATION - 1080607,Awaiting outcome,"£355,350",-,"£35,000",-,-,-,Cold,-,"59 Loampit Vale
LONDON
SE13 7FR
Phone:	02072486700",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
249997,Cecil Pilkington Charitable Trust,UK,General - Medical,CECIL PILKINGTON CHARITABLE TRUST - 249997,Awaiting outcome,"£528,796",-,"£4,099","£4,000",-,-,Cold,-,"DUNCAN SHEARD GLASS
CASTLE CHAMBERS
43 CASTLE STREET
LIVERPOOL
L2 9TL
0151 294 5400",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
232791,Chapman Charitable Trust,"national or based in North Wales, London or South East England (specifically Hertfordshire, Cambridgeshire, Essex, Kent, East Sussex, West Sussex, Surrey and Hampshire).",Health and Wellbeing,https://www.chapmancharitabletrust.org.uk/,Awaiting outcome,-,"£1,000 - £3,000",-,"£3,000.00",-,-,Cold,-,"RPGCC
40 Gracechurch Street
London
EC3V 0BT
0207 870 9050","	cct@chapmancharitabletrust.org.uk",No indication but contact details are avaliable.,Online,Applications must be made online.,End of Feb for Mar and end of Aug for Sept.,See website,No,,,,,,,
259638,Charity of Stella Symons ,UK and Worldwide,Pallative Care,THE CHARITY OF STELLA SYMONS - 259638,Awaiting outcome,"£77,050",-,670,£650.00,-,-,Cold,-,"20 MILL STREET
SHIPSTON-ON-STOUR
WARWICKSHIRE
CV36 4AW
Phone:	01243673455",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1113270,Charles Frederick Green Charitable Trust,UK,General,THE CHARLES FREDERICK GREEN CHARITABLE TRUST - 1113270,Awaiting outcome,-,-,-,£500.00,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
284387,Charlotte Herber-Percy Charitable Trust,UK,"Medical, Cancer and Hospices",THE CHARLOTTE HEBER-PERCY CHARITABLE TRUST - 284387,Exploratory call / email needed.,"£324,500",-,"£10,816.00","£10,000.00",-,-,Cold,Unsuccessful app in 2020,"Rathbones Trust Company Limited
30 Gresham Street
LONDON
EC2V 7QN
Phone:	0207 399 0444",rtccharities@rathbones.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1150413,Childwick Trust,"Bedfordshire, Berkshire, Buckinghamshire, Cambridgeshire, Essex, Hampshire, Hertfordshire, Kent, London & Greater London, Norfolk, Oxfordshire, Suffolk, Surrey & Sussex",Healthcare,https://childwicktrust.org/,Awaiting outcome,-,"£5,000 - £20,000",-,"£5,000.00",-,-,Cold,-,"9 Childwick Green
Childwickbury
ST. ALBANS
AL3 6JJ
Phone:	01727844666",kirsty@childwicktrust.org,Yes,Online,Online only,April and Oct,See website,No,,,,,,,
1197936,Chris Banton Foundation,UK,Children's Hospices,THE CHRIS BANTON FOUNDATION - 1197936,Exploratory call / email needed.,"£22,274,482",-,-,"£10,000.00",Din Mehta,Trustee,Cold,-,"20 RYDAL GARDENS
ASHBY-DE-LA-ZOUCH
LE65 1FJ
01530270100",din.mehta@bloorhomes.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1191343,Clemence Charitable Trust,UK,General,THE CLEMENCE CHARITABLE TRUST - 1191343,Awaiting outcome,"£63,697",-,-,-,-,-,Cold,-,"BASSETTS
MILL LANE
HILDENBOROUGH
TONBRIDGE
TN11 9LX
Phone:	01732833338",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
294540,Constance Travis Charitable Trust,UK,Medical/Health/Sickness,THE CONSTANCE TRAVIS CHARITABLE TRUST - 294540,Exploratory call / email needed.,"£6,887,328","£60,000 - £10,000",-,"£20,000.00",-,-,Cold,-,"86 DRAYTON GARDENS
LONDON
SW10 9SB",travistrust86@yahoo.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1191787,CPF Trust,UK,"Health, Disability, elderly, children and young people",www.thecpftrust.org.uk,Awaiting outcome,-,"£1,000 - £3,000",-,"£1,000.00",-,-,Cold,-,"6 Priory Avenue
Bedford Park
London
W4 1TX
Phone:	02089946052",thecpftrust@gmail.com,No indication but contact details are avaliable.,Email,Email ONLY inc accounts  Applications must be no more than 500 words long.,Applications only accepted between 1 June and 30 Sept.,See website,No,,,,,,,
274612,Culra Charitable Trust,UK,General,THE CULRA CHARITABLE TRUST - 274612,Apply,-,-,£500,£500.00,-,-,Lapsed,Last gift £500 in 2020,"Victoria House
1-3 College Hill
London
EC4R 2RA
Phone:	02074898076",-,No indication but contact details are avaliable.,Postal,-,-,-,-,,,,,,,
264270,Cyril Shack Trust,UK,General,THE CYRIL SHACK TRUST - 264270,Apply,"£84,993",-,-,"£1,000.00",-,-,Lapsed,Last gift £800 in 2022.,"Lubbock Fine
Paternoster House
65 St. Paul's Churchyard
LONDON
EC4M 8AB
Phone:	02074907766",-,No indication but contact details are avaliable.,Email or post.,-,-,-,-,,,,,,,
206329,David and Jennifer Sieff Charitable Trust,UK,General,THE DAVID AND JENNIFER SIEFF CHARITABLE TRUST - 206329,Awaiting outcome,-,-,-,-,-,-,Cold,-,"ACRE HOUSE
11-15 WILLIAM ROAD
LONDON
NW1 3ER
Phone:	02073887000",mbrinklow@hwfisher.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
287009,David Pearlman Charitable Foundation,UK,Health,DAVID PEARLMAN CHARITABLE FOUNDATION - 287009,Exploratory call / email needed.,"£272,566",-,-,"£5,000.00",-,-,Cold,-,"NEW BURLINGTON HOUSE
1075 FINCHLEY ROAD
LONDON
NW11 0PU
02087310777",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
326226,De Brye Charitable Trust ,UK and Overseas,Disabled children,THE DE BRYE CHARITABLE TRUST - 326226,Exploratory call / email needed.,"£81,800",-,"£2,337.00","£2,000.00",-,-,Cold,-,"MERCER & HOLE
72 LONDON ROAD
ST. ALBANS
AL1 1NS
Phone:	01727869141",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
327737,Diana Edgson Wright Charitable Trust,UK,Hospice,THE DIANA EDGSON WRIGHT CHARITABLE TRUST - 327737,Awaiting outcome,"£70,000",-,"£1,000.00","£1,000.00",-,-,Warm,-,"2 STADE STREET
HYTHE KENT
CT21 6BD
Phone:	01303262525",henmo4@henrymoorheadandco.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
251661,Dixie Rose Findlay Charitable Trust,UK,"Health, Disability, Elderly, Children",THE DIXIE ROSE FINDLAY CHARITABLE TRUST - 251661,Awaiting outcome,"£203,250",-,"£2,903.00","£2,900.00",-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
201794,Douglas Arter Foundation,UK,Disabled,DOUGLAS ARTER FOUNDATION - 201794,Awaiting outcome,"£81,371",£250 - £1k,£535.00,£500.00,-,-,Cold,-,"	Fern Villa
Melksham Road
Patterdown
Chippenham
SN15 2NR
Phone:	01249448252",dafbristol@aol.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
298772,Douglas Glanfield Memorial Trust,"Gravesham, Kent","Gravesham, Kent",DOUGLAS GLANFIELD MEMORIAL TRUST - 298772,Apply,-,-,"£1,000.00","£1,000.00",Andrew Moffat,Trustee,Lapsed,"Last gift £1,550 in 2021","	THREE ELMS
WOODLANDS LANE
SHORNE
GRAVESEND
DA12 3HH
Phone:	01474822280",aimoffat@btinternet.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
248003,Douglas Heath Eves Charitable Trust,UK,General,THE DOUGLAS HEATH EVES CHARITABLE TRUST - 248003,Awaiting outcome,"£27,000",-,£500.00,£500.00,-,-,Cold,-,"143 Minnis Road
Birchington
CT7 9NS
Phone:	01843 843920",roszieb@gmail.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
256453,E F and M G Hall Charitable Trust ,UK,Health,E F AND M G HALL CHARITABLE TRUST - 256453,Awaiting outcome,-,"£50 - £5,000",£250-£2000,"£2,000.00",-,-,Cold,-,"SHOVELSTRODE HOUSE
SHOVELSTRODE LANE
EAST GRINSTEAD
RH19 3PN
Phone:	01342321238",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1125104,E Slater Charitable Settlement ,UK,General,E SLATER CHARITABLE SETTLEMENT - 1125104,Awaiting outcome,"£13,450",-,£640.00,£650.00,Charlotte Marie Keating,Trustee,Cold,-,"Prosperity Law LLP
Vantage Point
4 Hardman Street
Spinningfields
Manchester
M3 3HF
Phone:	0161464 7595",charlottek@prosperitylaw.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
201589,Edgar E Lawley Foundation,UK,Children / Aged / Medical Care.,Home - Edgar E Lawley Foundation,Awaiting outcome,-,-,"£2,000.00","£2,000.00",-,-,Cold,-,"P.O.BOX 456
ESHER
KT10 1DP
Phone:	01372805760",edgarelawley@gmail.com,No indication but contact details are avaliable.,Online,Applications must be made onlin.,Applications are accepted between 1st Aug and 31st Oct.,See website.,No,,,,,,,
237250,Elaine & Angus Lloyd Charitable Trust,UK - possible preference for Kent / Surrey,Health / Children,THE ELAINE AND ANGUS LLOYD CHARITABLE TRUST - 237250,Awaiting outcome,"£127,050",-,"£2,049.00","£2,000.00",Ross Badger,Trustee,Cold,-,"7 Barrett Road
Fetcham
LEATHERHEAD
Surrey
KT22 9HL
Phone:	02079307797",ROSS@ROSSBADGERLTD.COM,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
262837,Emerton-Christie Charity,UK,Health / Disability,Home | BUSINESS NAME,Awaiting outcome,"£10,000",-,"£6,000.00","£6,000.00",-,-,Cold,-,"18 Kirkside Road
LONDON
SE3 7SQ
Phone:	07887397544",info@emertonchristie.org,No indication but contact details are avaliable.,Email,Email Only inc accounts.,TBC,See website,No,,,,,,,
264192,Family Rich Charities ,UK and Overseas,Social Welfare / Mecial Care / Music Therapies,THE FAMILY RICH CHARITIES TRUST - 264192,Awaiting outcome,"£80,000",-,"£2,500.00","£2,500.00",-,-,Cold,-,"6 FORGE LANE
RICHMOND
TW10 7BF
Phone:	02089487982",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
208758,Fitton Trust,UK and Worldwide,General,FITTON TRUST - 208758,Awaiting outcome,"£72,700",£250 - £350,£290.00,£300.00,-,-,Cold,-,"PO BOX 289
Bramhall
Stockport
SK7 0DZ",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
269410,Ford Britain Trust,"Priority - Essex, Bridgend, Southampton, Daventry, Manchester and Liverpool.",Community,The Ford Britain Trust | Ford UK,Awaiting outcome,-,Small - up to £250.  Large - up to £3k,-,£500.00,-,-,Cold,-,"Ford Motor Company Limited
Arterial Road
Laindon
Essex
SS15 6EE
Phone:	01268402790",fbtrust@ford.com,No indication but contact details are avaliable.,Online,"Two programmes - small grants up to £250 and Large grants (up to £3k).  Although they will consider all UK postcodes - priority is given to Essex, Bridgend, Southampton, Daventry, Manchester and Liverpool.","Small - which must be received online by June, Oct, Feb.  Large grants must be submitted in July (putcome Sept/Oct) and Jan (March)",See website,No,,,,,,,
1205658,Freddie Green and Family Charitable Foundation,UK,General,THE FREDDIE GREEN AND FAMILY CHARITABLE FOUNDATION - 1205658,Awaiting outcome,£0,-,-,-,-,-,Cold,-,"HENRY STREETER GROUP
WOLFELANDS PLACE
HIGH STREET
WESTERHAM
TN16 1RQ
Phone:	01959567140",info@freddiegreenfoundation.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
244444,Frognal Trust ,UK,Elderly / Children / Handicapped.,FROGNAL TRUST - 244444,Awaiting outcome,"£105,000",-,-,-,Joyce Salkeld,Wilsons Llp,Cold,-,"Wilsons Solicitors Llp
Alexandra House
St. Johns Street
Salisbury
SP1 2SB
Phone:	01722 412412",joyce.salkeld@wilsonsllp.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
295998,G D Herbert Charitable Trust ,UK,"Medical, Health, Welfare",THE G D HERBERT CHARITABLE TRUST - 295998,Awaiting outcome,"£99,000",-,"£3,093.75","£3,000.00",-,-,Cold,-,"Veale Wasbrough Vizards Llp
24 King William Street
LONDON
EC4R 9AT
Phone:	02074051234",mbyrne@vwv.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
212631,George and Esmee Pollitzer Charitable Settlement,UK,"Disabled, Health, Childrem",THE GEORGE AND ESME POLLITZER CHARITABLE SETTLEMENT - 212631,Exploratory call / email needed.,"£78,500",-,"£5,000","£5,000.00",-,-,Cold,-,"Dixon Wilson
22 Chancery Lane
LONDON
WC2A 1LS
Phone:	02076808100",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1085553,Geoff and Fiona Squire Foundation ,UK,Heathcare of Children,THE GEOFF & FIONA SQUIRE FOUNDATION - 1085553,Awaiting outcome,"£891,180",-,11280,"£10,000.00",-,-,Cold,-,"Henry Moore Court
Manresa Road
London
SW3 6AS
07759 636799",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1040999,George Cadbury Trust (George Henry T and Lawrence J Cadbury Sections,UK,General - Illness / Health,THE GEORGE CADBURY TRUST (GEORGE HENRY T AND LAURENCE J CADBURY SECTIONS) - 1040999,Exploratory call / email needed.,"£367,550",-,"£4,594.37","£4,500.00",-,-,Cold,-,"GEORGE CADBURY FUND B ACCOUNT
2 SNOW HILL
BIRMINGHAM
B4 6GA
01212657288",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
271993,Gerald Bentall Charitable Trust ,UK,"South - Elderly, health, social welfare",THE GERALD BENTALL CHARITABLE TRUST - 271993,Awaiting outcome,"£31,250",-,£538.00,£500.00,-,-,Cold,-,"24 STROUDES CLOSE
WORCESTER PARK
KT4 7RB
Phone:	02083304586",gbentallg9@aol.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
213630,Gilbert Edgar Trust ,UK & Overseas,"Children, disability / Hospice / Medical / Youth.",THE GILBERT EDGAR TRUST - 213630,Awaiting outcome,"£32,000",-,£680.00,£680.00,-,-,Cold,-,"Barnwell House
Fingest
Skirmett
Henley-on-Thames
RG9 6TH
Phone:	01491 639318",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1147149,Goldcrest Charitable Trust,UK,General,THE GOLDCREST CHARITABLE TRUST - 1147149,Application needed,"£247,000",-,"£8,892.00","£8,500.00",-,-,Cold,Last application Feb 25,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
267577,Green And Lilian F M Ainsworth and Family Benevolent Fund,UK,General,GREEN AND LILIAN F M AINSWORTH AND FAMILY BENEVOLENT FUND - 267577,Awaiting outcome,"£23,192",-,-,-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
