fund_url,fund_name,applicant_types,geographic_scope,beneficiary_focus,funding_range,restrictions,application_status,deadline,notes,eligibility,evidence,pages_scraped,visited_urls_count,extraction_timestamp,error,source_folder
https://petersowerbyfoundation.org.uk,petersowerbyfoundation.org.uk,charities; community groups; registered healthcare providers; CICs,"UK-wide (with preference for North Yorkshire, but not exclusive)",healthcare patients; people with health conditions; vulnerable groups; community beneficiaries; children; young people; patients in need of palliative or end-of-life care,"Small grants of a few thousand pounds up to £500,000 (potentially up to £2-3 million by invitation); Seed funding up to £25,000 for early-stage ideas","No unsolicited applications—applications are by invitation or via Open Call; Preference for innovative, impactful, and scalable projects; Some funds/strands are only open to invited applicants; Preference for North Yorkshire but UK-wide projects considered",unclear,No current Open Call deadline stated; Open Calls announced periodically,"Projects must demonstrate clear need and impact, preferably with innovation or technology focus. For the Impact in Healthcare Fund, projects must be proven, ready to scale, and run by established organisations. Occasional Open Calls—register interest to be notified.",Eligible,"ellenor Hospice is a registered UK charity providing palliative and end-of-life care, which aligns with the Foundation's healthcare focus. The Foundation supports charities and healthcare providers for health innovation and impactful projects, with grants up to £500,000 (and higher by invitation), matching ellenor's scale. While there is a preference for North Yorkshire, the Foundation funds UK-wide projects and has supported large, established charities in health and end-of-life care. However, applications are only accepted via invitation or during Open Calls, and no current Open Call is listed. There are no explicit exclusions for hospices or palliative care. Therefore, ellenor Hospice is Eligible, but would need to monitor for Open Calls or make a compelling case for consideration via the contact form.",8,8,15/10/2025 10:47,,petersowerbyfoundation.org.uk
https://savitri.org.uk,savitri.org.uk,Charities; NGOs; Community organisations; By invitation (with some exceptions for strong alignment),Primarily India and Nigeria; some UK funding (mainly environmental/advocacy); global emergency grants possible,"Marginalised communities; People with health needs (esp. cataract blindness, palliative care); Vulnerable people; Communities affected by environmental issues",Not stated; historic grants range from small microgrants to major project support (no explicit minimum/maximum),Primarily by invitation only; Majority of health/palliative care funding focused on India/Nigeria; UK grants mainly for environmental/advocacy work; Unsolicited applications only considered if strongly aligned and via email,rolling,None stated,"Funding is generally by invitation, but organisations with strong alignment can email to express interest. Palliative care funding is focused on rural India. UK grants are mainly for environmental/advocacy projects, not direct health or hospice services.",Not Eligible,"1. The Trust's community health and palliative care funding is explicitly focused on rural India and Nigeria: 'ever since we have focussed on partnering with organisations that are working to improve the health and wellbeing of communities across rural India.' 2. UK funding is directed at environmental and advocacy projects (e.g., Pesticide Action Network UK, Soil Association), not direct health or hospice care: 'In the UK this work includes projects to support soil health, seed sovereignty and collaborative alliances that champion social and environmental justice in relation to food and farming.' 3. No evidence of grants to UK hospices or palliative care providers; all palliative care examples are India-based. 4. Application is by invitation, with a small possibility for unsolicited approaches only if work is strongly aligned, but the Trust's stated priorities do not match ellenor Hospice's UK-based palliative care delivery. 5. No explicit exclusion of UK hospices, but the focus and grant history make it clear that ellenor Hospice's core activities are outside the Trust's funding remit.",15,15,15/10/2025 10:47,,savitri.org.uk
https://sfct.co.uk,sfct.co.uk,charities registered with the Charity Commission,Primarily North West England and Israel; applications accepted from other areas in the UK,Jewish educational institutions; community care; special needs; social services; SSEL Spiritual Social Emotional Education; non-Jewish organisations (occasionally),Not stated,Individuals not eligible; Main focus is Jewish charities and North West England; grants to non-Jewish organisations and outside North West are less common and less likely to succeed,closed,"Reopens January 1, 2026 - March 31, 2026","Charities outside North West England may apply but have a lower chance of success. Most grants are to Jewish charities, but non-Jewish organisations are considered.",Possibly Eligible,"ellenor Hospice is a registered UK charity, which matches the applicant type. The Trust's main focus is Jewish charities in North West England or Israel, but it does consider applications from non-Jewish organisations and from other UK regions, though with a lower chance of success ('we do make grants to non-Jewish organisations and...outside of this area'). The geographic scope technically includes Kent, but it is not a priority. The Trust supports community care and social services, which could encompass hospice and palliative care, but these are not explicitly mentioned. Applications are currently closed and will reopen January 1, 2026. There are no explicit exclusions for hospices, but the low priority for non-Jewish, non-North West charities and the lack of explicit mention of palliative care reduce the match. Therefore, ellenor Hospice is Possibly Eligible.",4,4,15/10/2025 10:47,,sfct.co.uk
https://thebritfordbridgetrust.org,thebritfordbridgetrust.org,UK registered charities with national or international reach,UK (national or international projects only; regional projects only considered in Dorset and Cambridge),"prevention or relief of poverty; advancement of education; advancement of health or the saving of lives; advancement of the arts, culture, heritage, or science",Not stated,"No applications from overseas charities or causes; No funding for medical research; No funding for medicine and related professions connected to the causes, diagnosis, treatment and care of cancer and other malignant disease; Regional projects only considered in Dorset and Cambridge",rolling,"Quarterly cut offs: 30 March, 30 June, 30 September, 31 December","Applicants must demonstrate national or international relevance. Projects with only regional impact (outside Dorset or Cambridge) are not considered. Applications are reviewed quarterly. If no response within 6 months, application is unsuccessful.",Not Eligible,"ellenor Hospice is a UK registered charity providing palliative and end-of-life care in Kent. The Britford Bridge Trust only considers applications from UK charities for national or international projects, with regional projects only eligible if based in Dorset or Cambridge. The Trust explicitly states: 'Regional consideration will only be given to projects in the Dorset and Cambridge areas.' ellenor Hospice's work is regional (Kent) and does not have national or international reach. Additionally, the Trust will not consider applications for funding in the field of 'medicine and related professions connected to the causes, diagnosis, treatment and care of cancer and other malignant disease,' which may overlap with ellenor's palliative care services. Therefore, ellenor Hospice is not eligible to apply.",6,6,15/10/2025 10:47,,thebritfordbridgetrust.org
https://theunderwoodtrust.org.uk,theunderwoodtrust.org.uk,UK registered charities; official charitable organisations (UK),UK,projects that improve quality of life; environmental projects; individuals (via charities),"£25,000 - £315,000 (examples from 2024/25 grants)","No unsolicited applications accepted (invitation only); No funding for individuals directly; No political activities; No commercial ventures or publications; No purchase of vehicles including mini-buses; No overseas travel, holidays or expeditions",closed,N/A (applications by invitation only),ellenor Hospice would only be eligible if specifically invited to apply. The Trust mainly supports UK registered charities and has funded a range of grant sizes. Applications are not accepted unless invited.,Not Eligible,"While ellenor Hospice is a UK registered charity and fits the general applicant type and geographic scope, The Underwood Trust is 'closed to unsolicited applications' and only accepts applications by invitation. The guidelines state: 'Please only make an application if you have been invited to do so.' There is no indication that ellenor Hospice has an existing relationship or invitation. Therefore, under current circumstances, ellenor Hospice is not eligible to apply.",4,4,15/10/2025 10:47,,theunderwoodtrust.org.uk
https://threeguineastrust.org.uk,threeguineastrust.org.uk,not-for-profit organisations,"UK (England, Wales, Scotland, Northern Ireland)",autistic children and young people; Disabled people; neurodivergent people; trans and non-binary people,"up to £15,000 (holiday schemes); up to £50,000/year for up to 3 years (access to justice)","Organisations with income or expenditure over £1 million are not eligible (Access to Justice programme); Organisations offering residential care of any kind are not eligible; General advice services not specifically for Disabled people are not eligible; Schools, nurseries, early years settings, local authorities, NHS Trusts not eligible (holiday schemes); Projects using Applied Behavioural Analysis or coercive behavioural control not eligible; App and website development not eligible; SEND and immigration advice/advocacy not eligible; Work outside the UK not eligible; Organisations with less than 2 years’ published accounts not eligible; Organisations with unrestricted reserves worth more than a typical year’s expenditure not eligible",closed,Holiday schemes: next round opens spring 2026; Access to Justice: closed 12 June 2025,"ellenor Hospice is a registered charity and not-for-profit, but its annual income (£8.2M) exceeds the £1M maximum for eligibility. Both main open grant programmes (holiday schemes and access to justice) are currently closed. The holiday scheme is only for activity schemes for autistic children/young people and their siblings, not general palliative care. The Access to Justice programme is for legal advice/advocacy for Disabled/neurodivergent people, not general hospice or palliative care services.",Not Eligible,"ellenor Hospice is a registered UK charity and not-for-profit, which matches the applicant type. However, the Access to Justice programme explicitly excludes organisations with income or expenditure over £1 million ('Organisations with an income or expenditure over £1 million' are not eligible), and ellenor's income is £8.2M. The holiday activity scheme is only for autistic-specific holiday activity schemes, not general hospice or palliative care, and is also currently closed. Both main grant programmes are closed, with the next holiday scheme round not opening until spring 2026. Additionally, the Trust does not fund organisations offering residential care of any kind, which may apply to ellenor's inpatient ward. Therefore, ellenor Hospice is not eligible for any current or upcoming Three Guineas Trust funding rounds.",15,15,15/10/2025 10:47,,threeguineastrust.org.uk
https://vinehilltrust.uk,vinehilltrust.uk,UK-registered charities; non-profits; CICs,United Kingdom,"patients with acute conditions; patients with long-term physical and/or intellectual disabilities (2026); patients with rare or under-recognised conditions; children and elderly with mobility limitations or post-discharge needs; underserved and rural communities; individuals affected by poverty, isolation, disability or serious health disadvantage","£10,000 - £100,000 (typical one-off grants)",No retrospective funding; No capital appeals for construction projects; No unrestricted funding; No campaigning or lobbying work; No projects with a reasonable expectation of public funding (must observe additionality principle); No endowments; No funding for more than 75% of project cost; No individuals; No statutory bodies unless in partnership with a charity; No organisations with more than twelve months of unrestricted reserves unless justified; No remotely delivered services with no in-person or clinical component; No awareness-raising or educational work without direct intervention; No academic research; No capital building works that do not support a direct health intervention,rolling,30 June 2026 (for 2026 health focus areas); applications accepted at any time until then,"Projects must address direct, practical health interventions for patients with long-term physical and/or intellectual disabilities (2026 focus) or acute conditions. Must demonstrate measurable health impact and benefit UK residents. Funding is for specific initiatives, not core/unrestricted costs. Applicants must show strong governance and financial management.",Highly Eligible,"1. ellenor Hospice is a UK-registered charity providing palliative and end-of-life care, directly matching the applicant type and health sector focus. 2. The Trust funds UK-wide, including Kent, and has previously funded health projects in Kent (e.g., Leeds Castle Foundation). 3. The 2026 health focus area includes 'direct, practical health interventions for patients with long-term physical and/or intellectual disabilities', which aligns with ellenor's work with children, adults, and families facing life-limiting conditions. 4. Funding range (£10,000-£100,000) is suitable for hospice projects. 5. Applications are open on a rolling basis until 30 June 2026. 6. No restrictions explicitly exclude hospices or palliative care providers, and previous grants have gone to health and care charities. 7. The Trust requires strong governance and measurable outcomes, which ellenor can demonstrate. Therefore, ellenor Hospice is highly eligible for Vinehill Trust health funding for a defined project that fits the 2026 focus.",7,7,15/10/2025 10:48,,vinehilltrust.uk
https://vivensafoundation.org.uk,vivensafoundation.org.uk,registered charities; community organisations; care homes (with research readiness); academic and clinical researchers,UK,older people; health and wellbeing of older people; care home residents; organisations improving health and social care for older people,Not explicitly stated,Focus is on older people; projects must align with improving health and wellbeing of older people; Care homes must be part of NIHR EnRICH network for research grants; Core/unrestricted funding not typically available—project or pilot/service scale-up grants preferred; Applicants must be 'research-ready' for some programmes,unclear,Not stated,"Funding is available for specific projects or research, not for general core costs. Community organisations must demonstrate research readiness or prior engagement with Vivensa Foundation. Care homes must be part of NIHR EnRICH for research grants. Focus is on older people, so projects must directly benefit this group.",Possibly Eligible,"ellenor Hospice is a registered UK charity providing palliative and end-of-life care, including for older people, which aligns with Vivensa Foundation's focus on improving health and wellbeing of older people. The Foundation funds registered charities and community organisations, and its geographic scope is UK-wide, including Kent. However, funding is specifically for projects or research that benefit older people, not for general hospice operations or core costs. There is an emphasis on 'research-ready' organisations and prior engagement with the Foundation, and care homes must be part of the NIHR EnRICH network for research grants. Application status and funding range are not specified. While ellenor Hospice could be eligible if proposing a research or project specifically targeting older people and meeting research readiness criteria, the focus and restrictions mean general hospice services or non-research activities may not qualify. Therefore, eligibility is 'Possibly Eligible'—a strong match if a suitable research/project proposal is developed, but not for general funding.",13,13,15/10/2025 13:02,,vivensafoundation.org.uk
https://www.alanboswell.com,www.alanboswell.com_about_environmental-social-governance_the-alan-boswell-group-charitable-trust-abgct,,,,,,unclear,,"No funding opportunity or grant information is present on this page. The content is limited to awards, accreditations, and professional memberships for Alan Boswell Group, an insurance broker.",Not Eligible,"There is no mention of any funding, grants, or charitable giving programs in the provided text. The page only discusses awards and accreditations received by Alan Boswell Group, as well as their professional memberships and regulatory status. No information is present regarding applicant types, geographic scope, beneficiaries, funding range, restrictions, or application process. Therefore, ellenor Hospice is not eligible as there is no funding opportunity available.",1,1,15/10/2025 13:02,,www.alanboswell.com_about_environmental-social-governance_the-alan-boswell-group-charitable-trust-abgct
https://www.alboradatrust.com,www.alboradatrust.com,UK registered charities,"UK (with some international funding, but primary eligibility is for UK-registered charities and UK-based projects)","medical research; healthcare; improvement of health and wellness; treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments; community causes; relief of human suffering","£25,000 minimum (no stated maximum, but requests should be proportionate to project scale)",No funding for political or religious activities; No unrestricted/core costs or capital projects; No funding for specific staff salaries; Only project-specific activities supported; Only UK registered charities eligible (no non-UK organisations),rolling,None stated; applications reviewed at twice yearly Board meetings (spring and autumn),"New applicants must contact the Trust before submitting a formal application. Projects must align with one of eight focus sectors, including healthcare. Funding is for project-specific work, not core costs or salaries.",Highly Eligible,"ellenor Hospice is a UK registered charity providing palliative and end-of-life care, which aligns with the ALBORADA Trust's healthcare sector ('dedicated to the improvement of health and wellness via the prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people'). The Trust explicitly funds UK registered charities and does not exclude hospices or palliative care providers. The minimum grant size (£25,000) is suitable for ellenor Hospice's scale. The application process is open on a rolling basis, with decisions at biannual Board meetings. Restrictions do not exclude hospices, but funding is for project-specific activities only (not core costs or salaries). Geographic scope includes Kent as part of the UK. Therefore, ellenor Hospice is highly eligible, provided it applies for a project that fits the Trust's healthcare focus and funding model.",10,10,15/10/2025 13:02,,www.alboradatrust.com
