fund_url,charity_name,registered_charity_number,charity_contact_email,charity_contact_phone,charity_contact_postcode,charity_activities,latest_income,latest_expenditure
www.newburycancercare.org.uk,NEWBURY CANCER CARE,1157796,OFFICE@NEWBURYCANCERCARE.ORG.UK,0163531542,RG18 3AS,The charity provides practical help to cancer patients and their families from diagnosis through to end of life care. We have a team of volunteer drivers  who provide transport to and from hospital for appointments and treatment. Cash grants can be made available where appropriate. We fund various services through the Palliative Care Service and are the parent charity for the Rainbow Hospice Rooms,761649.0,193031.0
www.ukftsh.org.uk,Palliative Care Sierra Leone,1113653,ukftsh@gmail.com,02087831998,KT8 9DL,"The Charity supports the Shepherd's Hospice and The Connaught CPU in Freetown, Sierra Leone, by making grants to it, supporting a visiting doctor, and making occasional visits. Funds are raised by a variety of fundraising events, and from donations from individuals and organisations.",18498.0,12008.0
www.seruralct.org,SOUTH-EAST RURAL CHARITABLE TRUST,1193316,seruralct@gmail.com,07768625255,BN27 4JB,"To promote, amongst other things, the advancement of health and the saving of lives. Funds are raised by hosting a range of social and equestrian events. Grants are made to registered charities including Kent, Surrey and Sussex Air Ambulance Trust, East Sussex Farmers Benevolent Fund and a number of hospices.",48673.0,43784.0
www.tassoutheastsuffolk.org.uk,The Arts Society South East Suffolk,1135053,info@tassoutheastsuffolk.org.uk,01394388686,IP1 3RG,"9 lectures2 Study Days3 visits Donations: East Anglian Children's Hospice, The Children's Ward and School Room at Ipswich Hospital Grants :Annual  Sponsorship of  Anna Airey prizesAnnual Suffolk New College Student of the year Art prizesSupporting Local  Arts Volunteering projects :Holbrook Acadamy wall mural student art project paid for materials.",21080.0,19846.0
www.thecreativehealthtrust.org,THE CREATIVE HEALTH TRUST UK,1200977,BOBSUTCLIFFE@THECREATIVEHEALTHTRUST.ORG,07919048899,LA11 6RW,We provide grants to Hospices across the UK for arts activities that support the well being of residents and their families.,10630.0,7026.0
www.golr.co.uk,THE GRAND ORDER OF LADY RATLINGS 'CUP OF KINDNESS',1101033,golrtreasurer@gmail.com,07899908057,HA8 8EL,"The Cup of Kindness assists in the relief of poor or necessitous persons through the provision of grants, goods and monetary payments. The Cup of Kindness also helps assist in the provision of equipment, facilities and services for hospitals and hospices, not normally provided by the statutory authorities.",17093.0,21763.0
www.hospitalsaturdayfund.org,THE HOSPITAL SATURDAY FUND,1123381,charity@hsf.eu.com,02072021334,SE1 9PD ,"The Charitable Company's principal activities are grant making to medical charities, hospices and hospitals and to individuals with health or disability problems.  These donations and grants were made possible by the surplus profits of the Charitable Company's trading Company, HSF health plan, being gifted to The Hospital Saturday Fund.",34712364.0,36196808.0
www.charitycheques.org.uk,THE SHARPLES CHARITABLE TRUST,1045798,,01512275177,L2 2AH,Makes grants for charitable purposes including church and hospice appeals from Wirral and North Wales,10589.0,10229.0
www.cutlerslondon.co.uk,THE WORSHIPFUL COMPANY OF CUTLERS GENERAL CHARITABLE FUND,283096,clerk@cutlerslondon.co.uk,02072481866,EC4M 7BR,"The relief of poverty; the advancement of education; the advancement of religion; the equipping of hospices with cutlery; and other purposes beneficial to the community.  Preference is given to charities that serve London, especially those that benefit deprived inner London boroughs.Grants are not normally awarded to charities that attract national support, or those outside the UK.",433372.0,160791.0
https://vulcanlodge.org/,VULCAN LODGE 4382 BENEVOLENT FUND,512388,treasurer@vulcanlodge.org,01773 830005,DE55 6EP,"To make grants to individuals and organisations including schools, scouts, hospice and other charities etc and support individuals with special needs, poverty or health problems.",2326.0,1459.0
www.wonderwards.org.uk,WONDER WARDS,1204696,wonderwards@outlook.com,07980742492,BA12 8FH,"Wonder Wards activities are threefold. We raise funds so that we can offer grants to children's hospices and hospital wards, in order, for them to renovate and improve their wards. We also grant wishes to the sick children and provide financial aid to the families where most needed, to enhance the short lives of their loved ones and ease their struggles as best we can.",6415.0,10710.0
